Label,Total population,Total population!!AGE,Total population!!AGE!!Under 5 years,Total population!!AGE!!5 to 9 years,Total population!!AGE!!10 to 14 years,Total population!!AGE!!15 to 19 years,Total population!!AGE!!20 to 24 years,Total population!!AGE!!25 to 29 years,Total population!!AGE!!30 to 34 years,Total population!!AGE!!35 to 39 years,Total population!!AGE!!40 to 44 years,Total population!!AGE!!45 to 49 years,Total population!!AGE!!50 to 54 years,Total population!!AGE!!55 to 59 years,Total population!!AGE!!60 to 64 years,Total population!!AGE!!65 to 69 years,Total population!!AGE!!70 to 74 years,Total population!!AGE!!75 to 79 years,Total population!!AGE!!80 to 84 years,Total population!!AGE!!85 years and over,Total population!!SELECTED AGE CATEGORIES,Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Total population!!SELECTED AGE CATEGORIES!!Under 18 years,Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,Total population!!SELECTED AGE CATEGORIES!!16 years and over,Total population!!SELECTED AGE CATEGORIES!!18 years and over,Total population!!SELECTED AGE CATEGORIES!!21 years and over,Total population!!SELECTED AGE CATEGORIES!!60 years and over,Total population!!SELECTED AGE CATEGORIES!!62 years and over,Total population!!SELECTED AGE CATEGORIES!!65 years and over,Total population!!SELECTED AGE CATEGORIES!!75 years and over,Total population!!SUMMARY INDICATORS,Total population!!SUMMARY INDICATORS!!Median age (years),Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),Total population!!SUMMARY INDICATORS!!Age dependency ratio,Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,Total population!!SUMMARY INDICATORS!!Child dependency ratio,Total population!!PERCENT ALLOCATED,Total population!!PERCENT ALLOCATED!!Sex,Total population!!PERCENT ALLOCATED!!Age
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,5.70%,6.20%,6.50%,6.20%,6.60%,5.90%,6.20%,6.10%,6.20%,6.30%,6.80%,7.00%,5.80%,4.80%,3.40%,2.20%,2.30%,,12.00%,3.70%,21.50%,8.90%,37.50%,81.10%,78.50%,74.40%,25.50%,22.60%,18.50%,7.80%,,(X),(X),(X),(X),(X),,(X),(X)
Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"4,648,794",,"292,977","298,089","317,155","301,712","298,660","326,337","317,085","325,748","281,037","275,891","268,833","295,758","307,318","246,837","199,884","136,928","83,185","75,360",,"615,244","176,665","1,084,886","423,707","1,850,579","3,684,053","3,563,908","3,371,916","1,049,512","928,680","742,194","295,473",,37.7,95.3,64.8,26.3,38.4,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.30%,6.40%,6.80%,6.50%,6.40%,7.00%,6.80%,7.00%,6.00%,5.90%,5.80%,6.40%,6.60%,5.30%,4.30%,2.90%,1.80%,1.60%,,13.20%,3.80%,23.30%,9.10%,39.80%,79.20%,76.70%,72.50%,22.60%,20.00%,16.00%,6.40%,,(X),(X),(X),(X),(X),,0.10%,1.90%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,268,202",,"151,967","152,601","161,404","160,006","151,127","160,241","153,553","159,992","139,768","133,410","131,623","138,836","147,449","114,354","93,290","57,843","34,829","25,909",,"314,005","92,439","558,411","218,694","924,687","1,772,276","1,709,791","1,608,247","473,674","416,797","326,225","118,581",,36.3,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.70%,6.70%,7.10%,7.10%,6.70%,7.10%,6.80%,7.10%,6.20%,5.90%,5.80%,6.10%,6.50%,5.00%,4.10%,2.60%,1.50%,1.10%,,13.80%,4.10%,24.60%,9.60%,40.80%,78.10%,75.40%,70.90%,20.90%,18.40%,14.40%,5.20%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,380,592",,"141,010","145,488","155,751","141,706","147,533","166,096","163,532","165,756","141,269","142,481","137,210","156,922","159,869","132,483","106,594","79,085","48,356","49,451",,"301,239","84,226","526,475","205,013","925,892","1,911,777","1,854,117","1,763,669","575,838","511,883","415,969","176,892",,39,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.90%,6.10%,6.50%,6.00%,6.20%,7.00%,6.90%,7.00%,5.90%,6.00%,5.80%,6.60%,6.70%,5.60%,4.50%,3.30%,2.00%,2.10%,,12.70%,3.50%,22.10%,8.60%,38.90%,80.30%,77.90%,74.10%,24.20%,21.50%,17.50%,7.40%,,(X),(X),(X),(X),(X),,(X),(X)
Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,344,212",,"62,813","64,874","72,870","78,209","74,294","82,168","82,063","77,594","76,021","84,049","92,380","102,302","108,597","92,423","77,133","50,300","31,469","34,653",,"137,744","45,796","246,353","106,707","470,349","1,128,168","1,097,859","1,049,640","394,575","352,172","285,978","116,422",,45.1,95.4,65.6,35.2,30.3,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,4.70%,4.80%,5.40%,5.80%,5.50%,6.10%,6.10%,5.80%,5.70%,6.30%,6.90%,7.60%,8.10%,6.90%,5.70%,3.70%,2.30%,2.60%,,10.20%,3.40%,18.30%,7.90%,35.00%,83.90%,81.70%,78.10%,29.40%,26.20%,21.30%,8.70%,,(X),(X),(X),(X),(X),,0.10%,1.50%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"656,330",,"32,093","32,704","37,521","40,293","38,043","41,202","40,233","39,417","36,724","41,320","45,005","48,915","52,868","42,972","37,734","25,210","13,021","11,055",,"70,225","23,240","125,558","55,096","235,912","545,914","530,772","505,449","182,860","162,369","129,992","49,286",,43.5,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,4.90%,5.00%,5.70%,6.10%,5.80%,6.30%,6.10%,6.00%,5.60%,6.30%,6.90%,7.50%,8.10%,6.50%,5.70%,3.80%,2.00%,1.70%,,10.70%,3.50%,19.10%,8.40%,35.90%,83.20%,80.90%,77.00%,27.90%,24.70%,19.80%,7.50%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"687,882",,"30,720","32,170","35,349","37,916","36,251","40,966","41,830","38,177","39,297","42,729","47,375","53,387","55,729","49,451","39,399","25,090","18,448","23,598",,"67,519","22,556","120,795","51,611","234,437","582,254","567,087","544,191","211,715","189,803","155,986","67,136",,46.5,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,4.50%,4.70%,5.10%,5.50%,5.30%,6.00%,6.10%,5.50%,5.70%,6.20%,6.90%,7.80%,8.10%,7.20%,5.70%,3.60%,2.70%,3.40%,,9.80%,3.30%,17.60%,7.50%,34.10%,84.60%,82.40%,79.10%,30.80%,27.60%,22.70%,9.80%,,(X),(X),(X),(X),(X),,(X),(X)
Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"6,045,680",,"358,346","359,505","390,637","381,318","372,016","405,838","414,737","415,367","371,557","384,732","411,222","413,230","407,288","317,396","247,137","166,203","115,604","113,547",,"750,142","223,799","1,332,287","529,535","2,360,833","4,862,424","4,713,393","4,476,458","1,367,175","1,195,609","959,887","395,354",,39,93.9,61.1,25.6,35.5,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.90%,5.90%,6.50%,6.30%,6.20%,6.70%,6.90%,6.90%,6.10%,6.40%,6.80%,6.80%,6.70%,5.20%,4.10%,2.70%,1.90%,1.90%,,12.40%,3.70%,22.00%,8.80%,39.00%,80.40%,78.00%,74.00%,22.60%,19.80%,15.90%,6.50%,,(X),(X),(X),(X),(X),,0.10%,1.50%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,928,013",,"182,785","184,730","198,160","192,824","190,492","204,453","204,600","202,827","180,535","185,153","197,917","196,631","192,059","144,276","111,525","72,754","46,762","39,530",,"382,890","112,752","678,427","270,564","1,175,731","2,324,237","2,249,586","2,127,971","606,906","523,972","414,847","159,046",,37.6,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.20%,6.30%,6.80%,6.60%,6.50%,7.00%,7.00%,6.90%,6.20%,6.30%,6.80%,6.70%,6.60%,4.90%,3.80%,2.50%,1.60%,1.40%,,13.10%,3.90%,23.20%,9.20%,40.20%,79.40%,76.80%,72.70%,20.70%,17.90%,14.20%,5.40%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,117,667",,"175,561","174,775","192,477","188,494","181,524","201,385","210,137","212,540","191,022","199,579","213,305","216,599","215,229","173,120","135,612","93,449","68,842","74,017",,"367,252","111,047","653,860","258,971","1,185,102","2,538,187","2,463,807","2,348,487","760,269","671,637","545,040","236,308",,40.6,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.60%,5.60%,6.20%,6.00%,5.80%,6.50%,6.70%,6.80%,6.10%,6.40%,6.80%,6.90%,6.90%,5.60%,4.30%,3.00%,2.20%,2.40%,,11.80%,3.60%,21.00%,8.30%,38.00%,81.40%,79.00%,75.30%,24.40%,21.50%,17.50%,7.60%,,(X),(X),(X),(X),(X),,(X),(X)
Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"6,892,503",,"355,066","355,521","395,607","451,393","484,340","502,409","490,198","439,263","410,391","429,075","465,330","483,588","458,029","372,905","303,252","204,299","131,903","159,934",,"751,128","245,583","1,351,777","690,150","2,777,994","5,707,254","5,540,726","5,236,619","1,630,322","1,447,056","1,172,293","496,136",,39.7,94.3,57.8,26.8,30.9,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.20%,5.20%,5.70%,6.50%,7.00%,7.30%,7.10%,6.40%,6.00%,6.20%,6.80%,7.00%,6.60%,5.40%,4.40%,3.00%,1.90%,2.30%,,10.90%,3.60%,19.60%,10.00%,40.30%,82.80%,80.40%,76.00%,23.70%,21.00%,17.00%,7.20%,,(X),(X),(X),(X),(X),,0.10%,1.50%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,345,556",,"181,456","179,652","204,420","227,603","239,525","255,467","244,708","219,139","198,576","207,232","225,784","240,267","212,056","175,564","136,824","88,715","54,074","54,494",,"384,072","125,125","690,653","342,003","1,385,018","2,741,592","2,654,903","2,502,215","721,727","637,001","509,671","197,283",,38,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.40%,5.40%,6.10%,6.80%,7.20%,7.60%,7.30%,6.60%,5.90%,6.20%,6.70%,7.20%,6.30%,5.20%,4.10%,2.70%,1.60%,1.60%,,11.50%,3.70%,20.60%,10.20%,41.40%,81.90%,79.40%,74.80%,21.60%,19.00%,15.20%,5.90%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,546,947",,"173,610","175,869","191,187","223,790","244,815","246,942","245,490","220,124","211,815","221,843","239,546","243,321","245,973","197,341","166,428","115,584","77,829","105,440",,"367,056","120,458","661,124","348,147","1,392,976","2,965,662","2,885,823","2,734,404","908,595","810,055","662,622","298,853",,41.1,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,4.90%,5.00%,5.40%,6.30%,6.90%,7.00%,6.90%,6.20%,6.00%,6.30%,6.80%,6.90%,6.90%,5.60%,4.70%,3.30%,2.20%,3.00%,,10.30%,3.40%,18.60%,9.80%,39.30%,83.60%,81.40%,77.10%,25.60%,22.80%,18.70%,8.40%,,(X),(X),(X),(X),(X),,(X),(X)
Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"9,986,857",,"567,914","578,688","617,636","653,218","674,774","689,462","612,555","619,034","554,995","611,179","641,520","701,709","697,764","588,009","453,804","310,403","200,500","213,693",,"1,196,324","378,584","2,142,822","949,408","3,804,038","8,095,913","7,844,035","7,428,907","2,464,173","2,183,374","1,766,409","724,596",,39.8,96.9,64.3,29.1,35.3,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.70%,5.80%,6.20%,6.50%,6.80%,6.90%,6.10%,6.20%,5.60%,6.10%,6.40%,7.00%,7.00%,5.90%,4.50%,3.10%,2.00%,2.10%,,12.00%,3.80%,21.50%,9.50%,38.10%,81.10%,78.50%,74.40%,24.70%,21.90%,17.70%,7.30%,,(X),(X),(X),(X),(X),,0.10%,1.00%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"4,915,905",,"288,628","297,937","314,377","330,959","345,719","353,927","311,011","306,889","276,122","300,963","315,866","345,004","336,188","282,510","209,840","136,314","89,187","74,464",,"612,314","194,056","1,094,998","482,622","1,924,627","3,949,370","3,820,907","3,611,474","1,128,503","990,401","792,315","299,965",,38.4,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.90%,6.10%,6.40%,6.70%,7.00%,7.20%,6.30%,6.20%,5.60%,6.10%,6.40%,7.00%,6.80%,5.70%,4.30%,2.80%,1.80%,1.50%,,12.50%,3.90%,22.30%,9.80%,39.20%,80.30%,77.70%,73.50%,23.00%,20.10%,16.10%,6.10%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"5,070,952",,"279,286","280,751","303,259","322,259","329,055","335,535","301,544","312,145","278,873","310,216","325,654","356,705","361,576","305,499","243,964","174,089","111,313","139,229",,"584,010","184,528","1,047,824","466,786","1,879,411","4,146,543","4,023,128","3,817,433","1,335,670","1,192,973","974,094","424,631",,41.2,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.50%,5.50%,6.00%,6.40%,6.50%,6.60%,5.90%,6.20%,5.50%,6.10%,6.40%,7.00%,7.10%,6.00%,4.80%,3.40%,2.20%,2.70%,,11.50%,3.60%,20.70%,9.20%,37.10%,81.80%,79.30%,75.30%,26.30%,23.50%,19.20%,8.40%,,(X),(X),(X),(X),(X),,(X),(X)
Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"5,639,632",,"349,621","361,330","372,737","363,358","345,374","381,052","384,526","385,345","345,054","328,488","344,322","386,481","370,453","304,894","228,472","163,959","112,575","111,591",,"734,067","218,981","1,302,669","489,751","2,204,709","4,479,456","4,336,963","4,122,678","1,291,944","1,136,366","921,491","388,125",,38.4,98.9,65.1,27,38.1,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.20%,6.40%,6.60%,6.40%,6.10%,6.80%,6.80%,6.80%,6.10%,5.80%,6.10%,6.90%,6.60%,5.40%,4.10%,2.90%,2.00%,2.00%,,13.00%,3.90%,23.10%,8.70%,39.10%,79.40%,76.90%,73.10%,22.90%,20.10%,16.30%,6.90%,,(X),(X),(X),(X),(X),,0.00%,0.90%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,804,216",,"178,950","185,956","187,178","185,278","173,654","194,937","194,332","193,840","176,193","167,388","172,008","193,212","181,528","147,629","109,376","73,334","49,570","39,853",,"373,134","112,287","664,371","246,645","1,118,234","2,214,030","2,139,845","2,031,999","601,290","524,179","419,762","162,757",,37.5,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.40%,6.60%,6.70%,6.60%,6.20%,7.00%,6.90%,6.90%,6.30%,6.00%,6.10%,6.90%,6.50%,5.30%,3.90%,2.60%,1.80%,1.40%,,13.30%,4.00%,23.70%,8.80%,39.90%,79.00%,76.30%,72.50%,21.40%,18.70%,15.00%,5.80%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,835,416",,"170,671","175,374","185,559","178,080","171,720","186,115","190,194","191,505","168,861","161,100","172,314","193,269","188,925","157,265","119,096","90,625","63,005","71,738",,"360,933","106,694","638,298","243,106","1,086,475","2,265,426","2,197,118","2,090,679","690,654","612,187","501,729","225,368",,39.2,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,6.20%,6.50%,6.30%,6.10%,6.60%,6.70%,6.80%,6.00%,5.70%,6.10%,6.80%,6.70%,5.50%,4.20%,3.20%,2.20%,2.50%,,12.70%,3.80%,22.50%,8.60%,38.30%,79.90%,77.50%,73.70%,24.40%,21.60%,17.70%,7.90%,,(X),(X),(X),(X),(X),,(X),(X)
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,976,149",,"179,497","190,277","211,264","214,658","200,789","190,095","178,132","190,629","188,981","183,638","177,919","192,721","190,745","162,197","126,867","90,225","53,094","54,421",,"401,541","117,382","698,420","298,065","1,163,284","2,360,508","2,277,729","2,131,424","677,549","601,013","486,804","197,740",,38.3,93.1,66.2,27.2,39,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,6.40%,7.10%,7.20%,6.70%,6.40%,6.00%,6.40%,6.30%,6.20%,6.00%,6.50%,6.40%,5.40%,4.30%,3.00%,1.80%,1.80%,,13.50%,3.90%,23.50%,10.00%,39.10%,79.30%,76.50%,71.60%,22.80%,20.20%,16.40%,6.60%,,(X),(X),(X),(X),(X),,0.10%,1.10%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,434,957",,"90,762","94,244","107,137","110,926","103,222","92,409","86,047","90,800","92,039","88,500","85,739","91,620","90,167","74,489","58,201","40,143","21,492","17,020",,"201,381","59,725","351,868","154,423","575,443","1,124,862","1,083,089","1,010,303","301,512","262,674","211,345","78,655",,36.9,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.30%,6.60%,7.50%,7.70%,7.20%,6.40%,6.00%,6.30%,6.40%,6.20%,6.00%,6.40%,6.30%,5.20%,4.10%,2.80%,1.50%,1.20%,,14.00%,4.20%,24.50%,10.80%,40.10%,78.40%,75.50%,70.40%,21.00%,18.30%,14.70%,5.50%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,541,192",,"88,735","96,033","104,127","103,732","97,567","97,686","92,085","99,829","96,942","95,138","92,180","101,101","100,578","87,708","68,666","50,082","31,602","37,401",,"200,160","57,657","346,552","143,642","587,841","1,235,646","1,194,640","1,121,121","376,037","338,339","275,459","119,085",,39.5,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,6.20%,6.80%,6.70%,6.30%,6.30%,6.00%,6.50%,6.30%,6.20%,6.00%,6.60%,6.50%,5.70%,4.50%,3.20%,2.10%,2.40%,,13.00%,3.70%,22.50%,9.30%,38.10%,80.20%,77.50%,72.70%,24.40%,22.00%,17.90%,7.70%,,(X),(X),(X),(X),(X),,(X),(X)
Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"6,137,428",,"365,451","380,818","391,770","398,235","394,992","421,412","402,310","402,944","353,765","362,748","367,897","420,294","416,849","338,605","270,645","199,143","127,889","121,661",,"772,588","234,656","1,372,695","558,571","2,373,658","4,918,035","4,764,733","4,522,768","1,474,792","1,303,564","1,057,943","448,693",,38.9,96.1,65.6,28.5,37,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,6.20%,6.40%,6.50%,6.40%,6.90%,6.60%,6.60%,5.80%,5.90%,6.00%,6.80%,6.80%,5.50%,4.40%,3.20%,2.10%,2.00%,,12.60%,3.80%,22.40%,9.10%,38.70%,80.10%,77.60%,73.70%,24.00%,21.20%,17.20%,7.30%,,(X),(X),(X),(X),(X),,0.10%,1.70%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,008,169",,"186,251","197,748","199,258","203,626","199,709","210,654","202,525","201,992","175,771","178,397","181,189","205,449","198,802","160,021","122,758","86,101","52,694","45,224",,"397,006","119,063","702,320","284,272","1,194,277","2,381,551","2,305,849","2,180,289","665,600","580,859","466,798","184,019",,37.6,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.20%,6.60%,6.60%,6.80%,6.60%,7.00%,6.70%,6.70%,5.80%,5.90%,6.00%,6.80%,6.60%,5.30%,4.10%,2.90%,1.80%,1.50%,,13.20%,4.00%,23.30%,9.50%,39.70%,79.20%,76.70%,72.50%,22.10%,19.30%,15.50%,6.10%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,129,259",,"179,200","183,070","192,512","194,609","195,283","210,758","199,785","200,952","177,994","184,351","186,708","214,845","218,047","178,584","147,887","113,042","75,195","76,437",,"375,582","115,593","670,375","274,299","1,179,381","2,536,484","2,458,884","2,342,479","809,192","722,705","591,145","264,674",,40.2,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.70%,5.90%,6.20%,6.20%,6.20%,6.70%,6.40%,6.40%,5.70%,5.90%,6.00%,6.90%,7.00%,5.70%,4.70%,3.60%,2.40%,2.40%,,12.00%,3.70%,21.40%,8.80%,37.70%,81.10%,78.60%,74.90%,25.90%,23.10%,18.90%,8.50%,,(X),(X),(X),(X),(X),,(X),(X)
Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,068,778",,"58,850","61,823","67,783","70,013","68,359","68,563","64,556","68,267","64,205","58,108","59,070","72,614","78,658","70,563","55,925","39,674","20,787","20,960",,"129,606","38,068","226,524","100,304","403,963","869,402","842,254","798,199","286,567","253,310","207,909","81,421",,40.5,101,68.5,32.8,35.7,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.50%,5.80%,6.30%,6.60%,6.40%,6.40%,6.00%,6.40%,6.00%,5.40%,5.50%,6.80%,7.40%,6.60%,5.20%,3.70%,1.90%,2.00%,,12.10%,3.60%,21.20%,9.40%,37.80%,81.30%,78.80%,74.70%,26.80%,23.70%,19.50%,7.60%,,(X),(X),(X),(X),(X),,0.10%,1.50%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"537,170",,"31,120","33,055","32,944","36,917","35,688","34,834","32,603","35,849","33,272","29,008","29,376","34,248","39,072","34,888","27,423","19,760","8,833","8,280",,"65,999","19,808","116,927","52,797","209,163","434,655","420,243","396,971","138,256","122,195","99,184","36,873",,39.3,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,6.20%,6.10%,6.90%,6.60%,6.50%,6.10%,6.70%,6.20%,5.40%,5.50%,6.40%,7.30%,6.50%,5.10%,3.70%,1.60%,1.50%,,12.30%,3.70%,21.80%,9.80%,38.90%,80.90%,78.20%,73.90%,25.70%,22.70%,18.50%,6.90%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"531,608",,"27,730","28,768","34,839","33,096","32,671","33,729","31,953","32,418","30,933","29,100","29,694","38,366","39,586","35,675","28,502","19,914","11,954","12,680",,"63,607","18,260","109,597","47,507","194,800","434,747","422,011","401,228","148,311","131,115","108,725","44,548",,41.7,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.20%,5.40%,6.60%,6.20%,6.10%,6.30%,6.00%,6.10%,5.80%,5.50%,5.60%,7.20%,7.40%,6.70%,5.40%,3.70%,2.20%,2.40%,,12.00%,3.40%,20.60%,8.90%,36.60%,81.80%,79.40%,75.50%,27.90%,24.70%,20.50%,8.40%,,(X),(X),(X),(X),(X),,(X),(X)
Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
